"","site","SID","age","count","d13","d13.se","d18","d18.se","D47","D47.se","temp","temp.sd","d18sw","d18sw.se"
"1","Jiaxian","800",2.8024,4,-2.868475,0.0580327134755332,-8.743775,0.0676802469952148,0.619255,0.00905,16.7464213117499,2.77901161088954,-9.2398213350805,0.535632543887621
"2","Jiaxian","1220",3.0292,5,-3.82304,0.0296307779175641,-10.0919,0.0597243668865571,0.61347,0.00875657524378109,18.5656967848478,2.74064582459255,-10.2445196978041,0.520990516028277
"3","Jiaxian","1320",3.1022,5,-1.78454,0.0411100109462403,-9.74896,0.0653069138759439,0.60893,0.00901142996421767,20.0176799953392,2.86115293853663,-9.63321438459911,0.531378245197251
"4","Jiaxian","1320",3.1022,4,-2.139225,0.0496333473248247,-9.71045,0.0650481104004312,0.60898,0.00905,20.0015707303798,2.87275059613546,-9.60140999525896,0.540104115996629
"5","Jiaxian","1765",3.4831,5,-1.53194,0.037272885587247,-9.5481,0.0588639533161002,0.583978,0.0102325658561282,28.4041162720715,3.52537565576569,-7.92968611757658,0.625666338499308
"6","Jiaxian","1815",3.5144,4,-2.139175,0.0396139180086998,-8.8071,0.09437672735726,0.6074175,0.00905,20.5062440087131,2.88746706618076,-8.59713723159732,0.538142756192195
"7","Jiaxian","2020",3.7869,3,-4.5187,0.00711407056473289,-9.19176666666667,0.0867641823181278,0.619373333333333,0.0104500398723322,16.7095620974661,3.20062054606018,-9.6945902957068,0.610773892623003
"8","Jiaxian","2300",4.3533,6,-3.10141666666667,0.0286767094811567,-8.95088333333334,0.0831130174320888,0.600823333333333,0.00858312750562275,22.6651801583267,2.80090100936491,-8.35394431466377,0.516036214809418
"9","Jiaxian","2650",4.8692,5,-3.93718,0.0457035775404946,-9.00576,0.0999939898193887,0.592188,0.00809456607854924,25.5657616918596,2.72141395480679,-7.87788522798333,0.502356971528513
"10","Jiaxian","2975",5.2973,3,-5.47586666666667,0.0355716647534708,-9.52823333333333,0.0433502402915296,0.619356666666667,0.0112013129190784,16.7147526854527,3.4268363932884,-10.025770295608,0.654242805325088
"11","Jiaxian","3595",5.8536,3,-4.78286666666667,0.0200903791236835,-9.6041,0.0639296488336983,0.63774,0.0104500398723322,11.153612814387,3.02197341796239,-11.1793376261477,0.603725755859107
"12","Jiaxian","4040",6.1823,3,-4.67473333333333,0.0188123186591482,-9.70963333333333,0.0158512880654332,0.629936666666667,0.0124783256533523,13.4748209227307,3.68512305684129,-10.8233863059578,0.716367457064272
"13","Jiaxian","4040",6.1823,5,-4.13252,0.0512653586742547,-9.6124,0.163353940876858,0.622212,0.00809456607854924,15.8295487615038,2.46604579286395,-10.2906473651393,0.502731632687782
"14","Jiaxian","4380",6.3627,3,-3.8638,0.0097549987186056,-9.5971,0.0384437251056661,0.612066666666667,0.0104500398723322,19.0122052631938,3.27664277620346,-9.67096515601209,0.615535866342965
"15","Jiaxian","4535",6.4946,3,-3.70366666666667,0.0381077857311774,-9.6808,0.15085121809253,0.609916666666667,0.0104500398723322,19.7002804930629,3.29958715821459,-9.63180083141263,0.624834371105386
"16","Jiaxian","4750",6.6467,3,-5.97273333333333,0.0254657286040149,-9.22006666666667,0.0240425317579771,0.637296666666667,0.0104500398723322,11.2839803355484,3.02608840371602,-10.7684147500172,0.591751184411055
"17","Jiaxian","5025",6.8154,5,-5.43208,0.0410460351313011,-9.1163,0.0780768851837728,0.608324,0.0121599496709485,20.213135673162,3.848831546876,-8.97816928006138,0.710685736644863
