,site,age,d18c,d18c.se,temp,temp.sd,d18sw,d18sw.se
1,Lantian,2.797,-8.569,0.065053824,12.14021699,3.077783637,-9.948421478,0.604469524
2,Lantian,2.8125,-8.8725,0.218495995,16.82743843,2.777303082,-9.346928133,0.573480884
3,Lantian,2.86875,-8.701,0.035355339,17.27864762,2.767787758,-9.09479268,0.522836322
4,Lantian,2.9,-8.4755,0.088388348,17.5293194,2.762501467,-8.819502512,0.534042878
5,Lantian,2.93125,-8.6345,0.159099026,17.77999117,2.757215175,-8.923771582,0.542588131
6,Lantian,2.9625,-8.6245,0.168998521,18.03066295,2.751928884,-8.879564775,0.545196192
7,Lantian,2.99375,-8.8955,0.091216775,18.28133472,2.746642593,-9.098572159,0.523773114
8,Lantian,3.025,-9.015,0.036769553,18.5320065,2.741356302,-9.178910068,0.51320858
9,Lantian,3.05625,-8.9295,0.157684812,16.32588525,3.005447611,-9.523342217,0.595359893
10,Lantian,3.0875,-9.083,0.036769553,13.73830261,3.311364646,-10.16395204,0.645484092
11,Lantian,3.11875,-8.8275,0.193040151,20.37436368,2.895560104,-8.638765304,0.573673373
12,Lantian,3.15,-8.995,0.024041631,21.06306896,2.949578866,-8.67937674,0.543213466
13,Lantian,3.18125,-8.4445,0.567806745,21.75177424,3.003597628,-8.005685467,0.788628612
14,Lantian,3.2125,-8.416,0.394565584,22.44047952,3.05761639,-7.852300953,0.683793196
15,Lantian,3.24375,-8.8935,0.519723484,23.1291848,3.111635152,-8.198979996,0.769734587
16,Lantian,3.2866668,-9.065,0.070710678,24.07500965,3.18582115,-8.206881605,0.589196829
17,Lantian,3.3325003,-8.7095,0.297691955,25.0851144,3.265048956,-7.666124997,0.65082384
18,Lantian,3.3783338,-8.4195,0.372645274,26.09521915,3.344276762,-7.204831013,0.708016741
19,Lantian,3.4241673,-9.0515,0.294863528,27.1053239,3.423504568,-7.658938765,0.677999322
20,Lantian,3.4700008,-9.282,0.012727922,28.11542865,3.502732374,-7.701295486,0.618283243
21,Lantian,3.5616678,-8.8495,0.488610786,20.11769554,3.925678526,-8.730750395,0.875688091
22,Lantian,3.5876924,-9.9435,0.034648232,20.29131467,4.017129577,-9.78363442,0.749480217
23,Lantian,3.6261544,-9.7025,0.143542677,20.547908,4.152285941,-9.488661979,0.780169016
24,Lantian,3.6646164,-9.304,0.202232539,20.80450134,4.287442305,-9.03068177,0.807773697
25,Lantian,3.68382716,-10.068,0.286934342,20.93266298,4.354949363,-9.783650777,0.853209822
26,Lantian,3.70296296,-9.7495,0.221324423,20.15534804,4.142718936,-9.62004046,0.793064538
27,Lantian,3.72209876,-9.8285,0.057275649,19.36978459,3.927941213,-9.837032799,0.739243453
28,Lantian,3.81777776,-9.9055,0.388201623,15.47234299,3.586669956,-10.63634251,0.795238328
29,Lantian,3.85604936,-9.729,0.050911688,13.93886534,4.065160902,-10.77364064,0.780601798
30,Lantian,3.89432096,-10.0015,0.187383297,12.40538769,4.543651848,-11.34222616,0.906554859
31,Lantian,3.93259256,-9.94,0.40870772,11.97700889,4.733580404,-11.36299582,1.017197395
32,Lantian,3.95172836,-10.4095,0.153442172,12.46315838,4.64567284,-11.72047067,0.922486149
33,Lantian,3.97086416,-9.888,0.366281313,12.94930787,4.557765276,-11.11366511,0.953525112
34,Lantian,4.0007145,-10.1235,0.109601551,13.70766277,4.420636403,-11.20091717,0.860107119
35,Lantian,4.0221435,-10.1145,0.034648232,14.25207154,4.322194153,-11.08519371,0.837751546
36,Lantian,4.032858,-10.025,0.15,14.52427593,4.272973029,-10.93646685,0.834423567
