"","site","SID","age","count","d18c","d18c.se","Dp17c","Dp17c.se","D47","D47.se","temp","temp.sd","d18sw","d18sw.se","Dp17sw","Dp17sw.se"
"1","Jiaxian","1220",3.0292,1,-9.6924,0.0574853459587745,-105.477410948909,18,0.61347,0.00875657524378109,18.5656967848478,2.74064582459255,-9.85054460036246,0.519277762897164,-36.0520533139042,18.3403594909272
"2","Jiaxian","1765",3.4831,1,-9.53312,0.044254348938833,-108.275796363022,18,0.583978,0.0102325658561282,28.4041162720715,3.52537565576569,-7.9017536029085,0.626074394634339,-47.5206648082205,18.3597216961521
"3","Jiaxian","1765",3.4831,1,-9.29785,0.0742542853234002,-102.045723122927,18,0.583978,0.0102325658561282,28.4041162720715,3.52537565576569,-7.68065314471658,0.629170482974268,-40.8235499312933,18.2025785542818
"4","Jiaxian","2300",4.3533,1,-8.9348,0.0530571842449256,-118.853710665507,18,0.600823333333333,0.00858312750562275,22.6651801583267,2.80090100936491,-8.33002586888079,0.514409555668089,-53.1399989192341,18.1929519451048
"5","Jiaxian","2650",4.8692,1,-6.697,0.155757808793011,-103.463076633849,18,0.592188,0.00809456607854924,25.5657616918596,2.72141395480679,-5.5749128470277,0.511575079556343,-40.494597941582,18.1094124373625
"6","Jiaxian","2650",4.8692,1,-10.6075333333333,0.0449870845663261,-100.484470154793,18,0.592188,0.00809456607854924,25.5657616918596,2.72141395480679,-9.48790143023637,0.491905223683647,-37.5807087563896,18.2240032804997
"7","Jiaxian","3595",5.8536,1,-9.51936666666667,0.0371882747351607,-89.6360435759007,18,0.63774,0.0104500398723322,11.153612814387,3.02197341796239,-11.1072159549792,0.598211857590303,-12.8637780626538,18.455148921559
"8","Jiaxian","4750",6.6467,1,-9.07183333333333,0.013451187473396,-104.337957847005,18,0.637296666666667,0.0104500398723322,11.2839803355484,3.02608840371602,-10.6281177529808,0.598878989156199,-27.8478014659755,18.0630474805987
"9","Lantian","LT2",2.797,3,-8.91022454191764,0.02044917385256,-30.7403716287844,14.5454714902498,0.634394,0.00678758982752102,12.1402169897786,3.07778363723821,-10.2954354131855,0.603721348957896,44.8124079416346,14.8946809134054
"10","Lantian","LT12",3.088,2,-9.05759799598561,0.0887694214858213,-118.437093874679,19.2249993628179,0.625697,0.0110692866256141,13.696901292562,3.31625931893802,-10.1456823281229,0.661789293128515,-44.3957099571811,19.7033526823842
"11","Lantian","LT23",3.684,3,-9.74007336325274,0.0422481756369626,-92.0285604353737,12.5283388262902,0.606139333333333,0.00796687946717185,20.933816053949,4.35555672637389,-9.4563779222905,0.805266185471877,-24.9094820889812,12.995250746815
"12","Lantian","LT29",4.505,3,-10.5480629924805,0.0606035835176463,-62.4322354683695,7.53394936448793,0.5907088,0.0129859221867374,26.0742469930378,3.66346600025742,-9.34703400758093,0.655105676469831,0.352204329480658,8.01778545365951
"13","Lantian","LT41",5.31,1,-9.61790526797066,0.0297885432952941,-67.6726938854468,18,0.6090265,0.0130631829358953,19.9951277679129,3.80979850265004,-9.51810332944797,0.710053545928407,0.442361146710657,18.3662243868999
"14","Lantian","LT46",5.6,3,-10.3281135055929,0.0436008664573832,-120.941571069849,16.3155610059986,0.636473333333333,0.0238805698168569,11.5187011774421,4.00643341737083,-11.8457366171699,0.793429167684644,-44.5326584961115,16.7343648498802
"15","Lantian","LT49",6.163,4,-9.71848440527519,0.0337601866264028,-97.1342923102245,11.9582195091952,0.611255,0.00254159818486976,19.2570086985938,4.31379189679279,-9.75298530460376,0.804426164899299,-28.3389282137885,12.5671433891543
"16","Shilou","SL27",3.548125,3,-8.37288756076569,0.0162490432803887,-85.472333973101,12.3419880878388,0.6089115,0.00614304732332959,20.0273468291486,3.87808881178967,-8.26247276427644,0.722228814563763,-17.1498947239981,12.8688393959327
"17","Shilou","SL31",3.915714,3,-8.49761149148752,0.0451546201502588,-91.614695599084,14.1975308147432,0.636356,0.00997100000000001,11.5482051108972,4.81111847967998,-10.0262905122378,0.945975669313861,-15.4318589433974,15.0136142002896
"18","Shilou","SL35",4.51234358952381,3,-9.1120394065826,0.0456587563801615,-88.4409653449438,23.7254342656124,0.6143562,0.0112394721691012,18.2709175280546,3.47939134058419,-9.31630696388191,0.66161130358817,-18.8332685998848,23.9284265283013
"19","Shilou","SL85",5.05268589715384,2,-8.86334835663565,0.067011657570791,-154.256066855478,26.1647055874109,0.5820152,0.00777003941688844,29.1001285143084,3.81380560418296,-7.11218432005047,0.675654280788,-94.2353043384139,26.0819417932674
"20","Shilou","SL10",5.96659803397297,3,-9.79146946583717,0.0452596907966912,-72.3692761555128,32.4895878562585,0.6081676,0.0054408801640911,20.2531781064095,3.5182677055916,-9.63665509740578,0.651589072325572,-4.34729331503521,32.8878884942492
"21","Shilou","SL53",6.59284791525,3,-8.98817907975268,0.0394137643603034,-86.7859267636106,13.4987235940371,0.6363556,0.0153555960828618,11.5482051108972,3.3025255721904,-10.4948235398087,0.641840109979839,-10.308944970223,13.9374619459902
"22","Shilou","SL72",7.03171747870588,3,-9.26302732407928,0.0696465892440676,-121.528401940392,29.6720362378898,0.6285784,0.00532584333791372,13.8781631756071,3.35392952031748,-10.3080124913745,0.650406762052345,-47.4719249934825,29.4945513313747
